movie_id,score
428493,0
375794,0
22683,0
696,0
435366,0
5961,0
20126,0
303,0
323272,0
13042,0
107,0
539517,0
28145,0
10193,0
10191,0
1480,0
730840,0
52345,0
17483,0
262,0
141,0
583083,0
359784,0
149870,0
925,0
143,0
13855,0
553,0
14836,0
336804,0
126319,0
11697,0
573699,0
277216,0
770254,0
498249,0
4977,0
851,0
713776,0
49687,0
22504,0
72660,0
49797,0
16237,0
357786,0
169813,0
10227,0
703,0
629542,0
537116,0
15916,0
40662,0
873,0
29458,0
234200,0
28162,0
27670,0
2118,0
2062,0
12496,0
12444,0
616584,0
20139,0
22,0
84892,0
614934,0
317182,0
16052,0
1607,0
508439,0
14282,0
672322,0
166428,0
18079,0
14069,0
11621,0
1366,0
117,0
530254,0
492188,0
963,0
587,0
337960,0
221732,0
49026,1
33602,0
583,0
396535,0
61979,0
10315,0
2108,0
709629,0
123025,0
86837,0
903,0
27040,0
486589,0
451945,0
399566,0
393729,0
40619,0
11005,0
9421,0
632,0
556984,0
414906,0
30018,0
14811,0
380,0
599521,0
3763,0
502033,0
336,0
471707,0
52629,0
582927,0
990,0
562,0
374473,0
203217,0
13929,0
12491,0
309,0
81401,0
3114,0
525,0
177572,0
10229,0
1700,0
792,0
322,0
382591,0
269149,0
1417,0
216,0
14756,0
413594,0
165,0
508933,0
650031,0
554590,0
30959,0
6844,0
25050,0
20123,0
13002,0
10020,0
9475,0
404,0
273248,0
45269,0
4495,0
9800,0
24160,0
499,0
12405,0
137182,0
444705,0
15265,0
845,0
16306,0
672,0
993,0
575452,0
11902,0
567410,0
12429,0
3309,0
11482,0
653,0
11220,0
10835,0
205,0
976,0
334,0
14580,0
1040,0
261,0
637649,0
4808,0
995,0
596054,0
23832,0
11787,0
580175,0
453191,0
9552,0
5528,0
48831,0
15121,0
10633,0
162,0
128246,0
12219,0
371645,0
5910,0
238628,0
24428,0
678,0
531,0
19026,0
767,0
702,0
513434,0
96721,0
17058,0
11854,0
891,0
336808,0
11299,0
8416,0
164,0
51608,0
808,0
108,0
110160,0
9806,0
534780,0
4497,0
297222,0
11972,0
272,0
83666,0
9023,0
707886,0
675,0
68,0
466282,0
342470,0
